EudraCT Number,Sponsor Name,Full Title,Medical Condition,Start Date
2011-000919-22,University of Liverpool [...],RIAltO: A Randomised Investigation of Alternative Ofatumumab-containing regimens in less fit patients with CLL,Chronic Lymphocytic Leukaemia,2011-09-14
2011-004735-32,SOTIO a.s.,"Randomized, open-label, parallel-group, multi-centre phase II clinical trial with active cellular immunotherapy DCVAC/PCa in patients with castrate-resistant prostate cancer",metastatic castrate-resistant prostate cancer,2012-01-11
2010-023878-40,Medical University Vienna,"Influence of intra-arterial cerebral Papaverine Hydrochloride on cerebral glucose, lactate, pyruvate, glycerol, and glutamate concentrations, cerebral oxygenation, angiographic vasospasm, delayed s...","To demonstrate the influence of intra-arterial cerebral Papaverine Hydrochloride on cerebral glucose, lactate, pyruvate, glycerol, and glutamate concentrations and cerebral oxygenation in patients ...",2011-12-22
2011-003254-90,Novartis Pharma Services AG,"A randomised, active-controlled, open-label, multiple-dose, proof-of-concept study of intravitreal LFG316 in patients with active non-infectious intermediate-, posterior-, or panuveitis requiring s...","Active non-infectious intermediate-, posterior-, or panuveitis requiring systemic immunosuppressive therapy",2012-05-14
2012-003023-38,Friedrich-Schiller-Universität Jena,"Phase II study of Bortezomib, Melphalan, Prednisone (VMP) followed by Lenalidomide maintenance vs. VMP without maintenance in Myeloma patients not eligible to high-dose chemotherapy and autologous ...",multiple myeloma,2013-10-30
2012-000756-34,NeuroVive Pharmaceutical AB,"Copenhagen Head Injury Ciclosporin (CHIC) Study: An open-label, uncontrolled Phase II -study to investigate pharmacokinetics, safety and biomarkers of effectiveness of NeuroSTAT® (ciclosporin) i...",Severe Traumatic Brain Injury,2012-11-02
2013-003301-26,Newcastle Upon Tyne Hospitals NHS Foundation Trust,A randomised placebo-controlled pilot trial of omeprazole in idiopathic pulmonary fibrosis (IPF),Idiopathic Pulmonary Fibrosis (IPF),2013-09-20
2013-004787-62,"SOD Anestesia e Terapia Intensiva, DAI Oncologia, AOU Careggi, Firenze",Evaluation of muscle function recovery after deep neuromuscular blockade by acceleromyography of the adductor pollicis or diaphragmatic echography: comparison between sugammadex and neostigmine,Muscle function recovery post neuromuscoular blockade,2014-11-26
2014-003644-12,"Neuromuscular Research Unit, Rigshospitalet",The effect of Triheptanoin in adults with McArdle Disease (Glycogen Storage Disease Type V),McArdle Disease Also called: Glycogen Storage Disease Type V or Myophosphorylase Deficiency,2015-02-20
2017-000494-36,Idorsia Pharmaceuticals Ltd,"A Phase 2a, multi-center, single-blind, within-subject, placebo-controlled study to assess the pharmacodynamics of ACT-709478 in subjects with photosensitive epilepsy",Photosensitive epilepsy,2017-07-26
2014-003503-29,AstraZeneca AB,"A 28-week, Multicenter, Randomized, Double-Blind, Active-Controlled, Phase 3 Study with a 24-week Extension Phase Followed by a 52-week Extension Phase to Evaluate the Efficacy and Safety of Simult...",Diabetes Mellitus,2014-12-16
2014-004909-33,Manchester University NHS Foundation Trust,Thrombin Inhibition Preoperatively in Early Breast Cancer,Breast Cancer,2015-09-21
2015-005406-11,Astrazeneca AB,"A Multi-Center, Randomized, Double-Blind, Active-Controlled, Parallel Group, Phase III Trial to Evaluate the Safety and Efficacy of Saxagliptin 5mg Co-administered with Dapagliflozin 5mg compared t...","Type 2 diabetes mellitus, inadequate glycaemic control",2016-05-25
2014-005095-28,ISTITUTO SCIENTIFICO ROMAGNOLO PER LO STUDIO E LA CURA DEI TUMORI (IRST) S.R.L. IRCCS,Olaparib as salvage treatment for cisplatin-resistant germ cell tumor.,cisplatin-resistant germ cell tumor,2015-04-16
2013-005543-90,Amgen Inc,"A Randomized, Double-Blind Study to Compare Pharmacokinetics and Pharmacodynamics, Efficacy and Safety of ABP 798 With Rituximab in Subjects With Moderate to Severe Rheumatoid Arthritis",Rheumatoid arthritis,2014-08-26
2016-000376-26,Ziarco Pharma Ltd,"A Randomised, Adaptive Design, Double-Blind (3rd Party Open), Placebo Controlled, Sequential Group Study to Determine the Safety, Tolerability, Pharmacokinetics and Efficacy of Twice Daily Applica...",Atopic Dermatitis,2016-05-09
2017-002449-31,Zealand Pharma A/S,"A phase 3, randomized, double-blind, parallel trial to confirm the clinical efficacy and safety of dasiglucagon in the rescue treatment of hypoglycemia in subjects with type 1 diabetes mellitus (T1...",Type 1 diabetes mellitus,2018-02-16
2020-001109-22,"Passage Bio, Inc.","A Phase 1/2 Open-Label, Multicenter, Dose Ranging and Confirmatory Study to Assess the Safety, Tolerability and Efficacy of a Single Dose of PBGM01 Delivered into the Cisterna Magna of Pediatric Su...","GM1 gangliosidosis (GM1) is an autosomal recessive disorder that results from mutations in the human galactosidase beta 1 gene (GLB1), which encodes beta-galactosidase (β-gal).",Information not available in EudraCT
2015-005674-37,Eli Lilly and Company,"An Open-label, LonG-term, Safety Study of LAsmiDItan (100 mg and 200 mg) in the Acute Treatment Of MigRaine (GLADIATOR)",acute migraine,2016-11-01
